"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"KCNK2","potassium two pore domain channel subfamily K member 2","0.5","0.7278","0.7681","0.0818","0.4781","0.8523","0.2336"
"CTAGE8","CTAGE family member 8","0.5","0.0971","0.5504","0.7577","0.0915","0.6319","0.0944"
"CTSG","cathepsin G","0.5","0.9286","0.8466","0.151","0.7389","0.1624","0.8048"
"SMIM8","small integral membrane protein 8","0.5","0.899","0.6329","0.0863","0.9025","0.0727","0.17"
"TGIF2LX","TGFB induced factor homeobox 2 like, X-linked","0.5","0.7854","0.7353","0.6823","0.368","0.1616","0.2878"
"LY9","lymphocyte antigen 9","0.5","0.2121","0.7869","0.7053","0.9466","0.0739","0.059"
"EBLN1","endogenous Bornavirus-like nucleoprotein 1","0.5","0.53","0.9544","0.5962","0.3049","0.9751","0.8203"
"ACVR1B","activin A receptor type 1B","0.5","0.5184","0.0665","0.4327","0.7176","0.4948","0.2304"
"HSPB2","heat shock protein family B (small) member 2","0.5","0.1651","0.6722","0.3166","0.3116","0.1904","0.6485"
"RBBP7","RB binding protein 7, chromatin remodeling factor","0.5","0.7992","0.6624","0.6767","0.3399","4e-04","0.8295"
"TMC2","transmembrane channel like 2","0.5","0.5533","0.9227","0.4927","0.3468","0.5701","0.7359"
"GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","0.5","0.0096","0.8568","0.9839","0.0916","0.1408","0.2744"
"CYFIP1","cytoplasmic FMR1 interacting protein 1","0.5","0.0903","0.0441","0.8288","0.5519","0.0747","0.4249"
"POLN","DNA polymerase nu","0.5","0.0541","0.2613","0.1839","0.8336","0.4762","0.673"
"GMEB2","glucocorticoid modulatory element binding protein 2","0.5","0.2121","0.4632","0.6162","0.298","0.4655","0.7214"
"KCTD4","potassium channel tetramerization domain containing 4","0.5","0.1852","0.2604","0.5365","0.868","0.9168","0.0402"
"PARP9","poly(ADP-ribose) polymerase family member 9","0.5","0.9396","0.0885","0.7053","0.3598","0.7367","0.2582"
"PCSK9","proprotein convertase subtilisin/kexin type 9","0.5","0.6387","0.5794","0.2921","0.4376","0.2072","0.1813"
"CYP7A1","cytochrome P450 family 7 subfamily A member 1","0.5","0.5943","0.8278","0.5328","0.1796","0.2123","0.7534"
"PKIB","cAMP-dependent protein kinase inhibitor beta","0.5","0.9606","0.2154","0.8494","0.1033","0.3936","0.8252"
"FAM219A","family with sequence similarity 219 member A","0.5","0.8947","0.237","0.3434","0.596","0.8591","0.6785"
"HOXA6","homeobox A6","0.5","0.9136","0.6507","0.1578","0.5836","0.7435","0.4299"
"NR2E1","nuclear receptor subfamily 2 group E member 1","0.5","0.267","0.3275","0.9431","0.4073","0.116","0.365"
"ABLIM2","actin binding LIM protein family member 2","0.5","0.7099","0.4211","0.0109","0.8546","0.5681","0.8151"
"RSAD1","radical S-adenosyl methionine domain containing 1","0.5","0.2599","0.7703","0.4392","0.6198","0.9473","0.3798"
"MGAM","maltase-glucoamylase","0.5","0.8788","0.4994","0.6322","0.5007","0.9064","0.1318"
"HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1","0.5","0.6382","0.0125","0.659","0.2999","0.5911","0.1835"
"INCENP","inner centromere protein","0.5","0.2927","0.7578","0.4715","0.4882","0.8434","0.5558"
"CPNE6","copine 6","0.5","0.5367","0.0054","0.5107","0.7509","0.1441","0.0394"
"ZFX","zinc finger protein, X-linked","0.5","0.6529","0.0261","0.4062","0.2102","0.5708","0.2942"
"ZNF771","zinc finger protein 771","0.5","0.7125","0.4695","0.6584","0.6088","0.7966","0.0456"
"LBX1","ladybird homeobox 1","0.5","0.1745","0.3054","0.4608","0.3412","0.931","0.732"
"TRIM37","tripartite motif containing 37","0.5","0.6597","0.7842","0.8753","0.0497","0.7624","0.689"
"GOLGA6L22","golgin A6 family-like 22","0.5","0.5842","0.6019","0.955","0.8556","0.8333","0.8713"
"NRIP1","nuclear receptor interacting protein 1","0.5","0.7332","0.1954","0.2399","0.5054","0.176","0.9045"
"DNAAF4","dynein axonemal assembly factor 4","0.5","0.3084","0.5571","0.7627","0.8404","0.1943","0.9103"
"KRT222","keratin 222","0.5","0.8861","0.1487","0.5304","0.5744","0.1471","0.3148"
"ZNF732","zinc finger protein 732","0.5","0.8449","0.702","0.2447","0.1301","0.8338","0.9597"
"SLC25A33","solute carrier family 25 member 33","0.5","0.3183","0.9081","0.5613","0.1189","0.1859","0.8235"
"BPY2B","basic charge, Y-linked, 2B","0.5","0.7599","0.0519","0.0648","0.9847","0.7776","0.2648"
"ZFYVE21","zinc finger FYVE-type containing 21","0.5","0.9359","0.233","0.2036","0.5661","0.8907","0.6791"
"METTL13","methyltransferase like 13","0.5","0.3621","0.8207","0.7076","0.7128","0.1697","0.0277"
"RHPN2","rhophilin Rho GTPase binding protein 2","0.5","0.9412","0.3349","0.9397","0.184","0.9856","0.7697"
"ADGRB1","adhesion G protein-coupled receptor B1","0.5","0.1597","0.2731","0.9331","0.9678","0.3129","0.3412"
"ZCCHC9","zinc finger CCHC-type containing 9","0.5","0.1044","0.6313","0.3231","0.9967","0.4892","0.2804"
"GAGE13","G antigen 13","0.5","0.8589","0.0123","0.5796","0.7259","0.5813","0.2131"
"TMOD4","tropomodulin 4","0.5","0.1645","0.8381","0.7346","0.6084","0.5034","0.2283"
"HOXA2","homeobox A2","0.5","0.5307","0.7666","0.7551","0.0822","0.8141","0.7846"
"FCF1","FCF1 rRNA-processing protein","0.5","0.1331","0.5067","0.5149","0.2414","0.5167","0.3695"
"DENND6A","DENN domain containing 6A","0.5","0.1584","0.801","0.6973","0.7389","0.702","0.0158"
"FLOT2","flotillin 2","0.5","0.6029","0.8391","0.7321","0.7413","0.51","0.7117"
"RHCG","Rh family C glycoprotein","0.5","0.1432","0.4584","0.7154","0.8156","0.1406","0.5272"
"VPS13A","vacuolar protein sorting 13 homolog A","0.5","0.7675","0.751","0.3167","0.5735","0.3482","0.5265"
"ARHGDIB","Rho GDP dissociation inhibitor beta","0.5","0.2255","0.2982","0.1118","0.8562","0.1857","0.6131"
"ITIH5","inter-alpha-trypsin inhibitor heavy chain family member 5","0.5","0.6621","0.8027","0.8131","0.7053","0.5829","0.3222"
"MYBPH","myosin binding protein H","0.5","0.1271","0.2148","0.5543","0.8666","0.2564","0.1935"
"CCR10","C-C motif chemokine receptor 10","0.5","0.6337","0.856","0.8086","0.7152","0.1525","0.431"
"GHITM","growth hormone inducible transmembrane protein","0.5","0.4642","0.608","0.4216","0.3535","0.4716","0.1131"
"LSM11","LSM11, U7 small nuclear RNA associated","0.5","0.9657","0.2639","0.9856","0.136","0.3333","0.5194"
"INTS6","integrator complex subunit 6","0.5","0.3066","0.0484","0.0167","0.5139","0.8184","0.6475"
"SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","0.5","0.8385","0.087","0.2273","0.8012","0.132","0.8069"
"C11orf71","chromosome 11 open reading frame 71","0.5","0.151","0.349","0.2992","0.6309","0.7712","0.215"
"GDF15","growth differentiation factor 15","0.5","0.5797","0.2829","0.5824","0.5727","0.3224","0.426"
"MSGN1","mesogenin 1","0.5","0.2882","0.6409","0.1108","0.9283","0.4291","0.331"
"REEP5","receptor accessory protein 5","0.5","0.6407","0.5942","0.6358","0.1339","0.5529","0.1513"
"RHOH","ras homolog family member H","0.5","0.6116","0.8836","0.9982","0.8205","0.1712","0.2019"
"SMIM11A","small integral membrane protein 11A","0.5","0.6664","0.4596","0.7579","0.8638","0.9557","0.249"
"RIPK1","receptor interacting serine/threonine kinase 1","0.5","0.8727","0.3582","0.87","0.6382","0.8423","0.4683"
"NPTX1","neuronal pentraxin 1","0.5","0.736","0.5273","0.2613","0.5593","0.8494","0.3352"
"TCEANC2","transcription elongation factor A N-terminal and central domain containing 2","0.5","0.6033","0.0529","0.4026","0.9192","0.2965","0.177"
"IL17A","interleukin 17A","0.5","0.4621","0.5873","0.9219","0.1812","0.2283","0.212"
"GSG1L","GSG1 like","0.5","0.8423","0.3657","0.035","0.1027","0.5824","0.5248"
"U2AF1L4","U2 small nuclear RNA auxiliary factor 1 like 4","0.5","0.2153","0.4017","0.844","0.3677","0.5147","0.1239"
"KMO","kynurenine 3-monooxygenase","0.5","0.1541","0.8198","0.4079","0.1832","0.4399","0.2041"
"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A","0.5","0.9241","0.1236","0.7793","0.9044","0.758","0.7701"
"MTAP","methylthioadenosine phosphorylase","0.5","0.0497","0.2516","0.2909","0.0301","1","0.1275"
"DGKI","diacylglycerol kinase iota","0.5","0.2669","0.7527","0.6792","0.1614","0.4414","0.4885"
"NXPE2","neurexophilin and PC-esterase domain family member 2","0.5","0.1947","0.8991","0.0638","0.1872","0.1669","0.3964"
"PGF","placental growth factor","0.5","0.1697","0.5535","0.9024","0.6555","0.4011","0.3416"
"C1QL3","complement C1q like 3","0.5","0.3887","0.3325","0.5756","0.4694","0.6985","0.6125"
"NINL","ninein like","0.5","0.0738","0.987","0.5131","0.6835","0.8345","0.9687"
"TBX19","T-box 19","0.5","0.9238","0.6594","0.3356","0.6835","0.8149","0.7146"
"SLC25A31","solute carrier family 25 member 31","0.5","0.9845","0.6664","0.4043","0.1013","0.0781","0.9093"
"CHST15","carbohydrate sulfotransferase 15","0.5","0.1655","0.9586","0.8529","0.7169","0.418","0.5069"
"GPR183","G protein-coupled receptor 183","0.5","0.3082","0.9016","0.2747","0.3363","0.6321","0.2238"
"BPIFB4","BPI fold containing family B member 4","0.5","0.6468","0.2625","0.1675","0.0823","0.6701","0.3007"
"SPRYD7","SPRY domain containing 7","0.5","0.5856","0.9858","0.786","0.906","0.2861","0.319"
"ARHGAP11A","Rho GTPase activating protein 11A","0.5","0.8598","0.4052","0.6396","0.866","0.6785","0.2527"
"REEP4","receptor accessory protein 4","0.5","0.2116","0.9403","0.3484","0.2343","0.2717","0.9936"
"WWOX","WW domain containing oxidoreductase","0.5","0.6784","0.8535","0.1965","0.6374","0.828","0.1856"
"TFB1M","transcription factor B1, mitochondrial","0.5","0.4322","0.6407","0.2818","0.2768","0.1512","0.75"
"ZNF778","zinc finger protein 778","0.5","0.7393","0.4235","0.7649","0.0728","0.6481","0.5703"
"TAS2R50","taste 2 receptor member 50","0.5","0.6968","0.9644","0.556","0.6962","0.7736","0.0145"
"NKAIN3","sodium/potassium transporting ATPase interacting 3","0.5","0.2956","0.5831","0.3858","0.7173","0.7533","0.8616"
"FAM20B","FAM20B, glycosaminoglycan xylosylkinase","0.5","0.3804","0.8259","0.6413","0.7667","0.5115","0.3379"
"SDHAF2","succinate dehydrogenase complex assembly factor 2","0.5","0.473","0.8491","0.9515","0.0748","0.7218","0.5066"
"RBMY1C","RNA binding motif protein, Y-linked, family 1, member C","0.5","0.5411","0.6507","0.6773","0.9476","0.5097","0.0542"
"METTL8","methyltransferase like 8","0.5","0.9996","0.3281","0.4905","0.1561","0.3074","0.7014"
"STC2","stanniocalcin 2","0.5","0.7916","0.7156","0.6704","0.0891","0.5615","0.7906"
"OR6C6","olfactory receptor family 6 subfamily C member 6","0.5","0.9793","0.9418","0.151","0.1131","0.0961","0.3943"
"PLA2G2D","phospholipase A2 group IID","0.5","0.2702","0.1803","0.3848","0.1751","0.6381","0.6206"
"ATG101","autophagy related 101","0.5","0.7778","0.1248","0.7052","0.8169","0.1678","0.5047"
"SMARCAD1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","0.5","0.003","0.6435","0.826","0.701","0.4007","0.292"
"TRIP6","thyroid hormone receptor interactor 6","0.5","0.2205","0.0296","0.6735","0.4789","0.9037","0.5406"
"FBN1","fibrillin 1","0.5","0.9158","0.5576","0.7418","0.7135","0.5955","0.9905"
"TSPAN10","tetraspanin 10","0.5","0.3835","0.6445","0.0939","0.2938","0.6608","0.2991"
"CHID1","chitinase domain containing 1","0.5","0.7314","0.7264","0.6293","0.2898","0.3646","0.407"
"EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","0.5","0.4057","0.7542","0.9653","0.8695","0.0823","0.1463"
"ARPC1B","actin related protein 2/3 complex subunit 1B","0.5","0.4355","0.2003","0.3106","0.9813","0.626","0.2376"
"OR6J1","olfactory receptor family 6 subfamily J member 1 (gene/pseudogene)","0.5","0.4039","0.8448","0.315","0.0026","0.3814","0.4915"
"KLK13","kallikrein related peptidase 13","0.5","0.2698","0.4176","0.2608","0.8941","0.9371","0.8658"
"SLIRP","SRA stem-loop interacting RNA binding protein","0.5","0.1851","0.9268","0.8959","0.5195","0.2684","0.2771"
"PPIAL4E","peptidylprolyl isomerase A like 4E","0.5","0.9949","0.4144","0.85","0.0789","0.2167","0.2607"
"PIK3R6","phosphoinositide-3-kinase regulatory subunit 6","0.5","0.1829","0.8042","0.1971","0.9712","0.4513","0.5439"
"NR5A2","nuclear receptor subfamily 5 group A member 2","0.5","0.5248","0.3718","0.2367","0.2812","0.233","0.0236"
"LCTL","lactase like","0.5","0.4891","0.0164","0.9761","0.5575","0.3155","0.9994"
"CCNE2","cyclin E2","0.5","0.6494","0.7725","0.5604","0.3833","0.1469","0.8182"
"TM4SF4","transmembrane 4 L six family member 4","0.5","0.3579","0.2512","0.9072","0.2389","0.4355","0.4179"
"PAM16","presequence translocase associated motor 16 homolog","0.5","0.1401","0.7167","0.6879","0.7728","0.1004","0.3267"
"LAMTOR2","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","0.5","0.1385","0.5796","0.9436","0.3166","0.2691","0.2854"
"P3H4","prolyl 3-hydroxylase family member 4 (non-enzymatic)","0.5","0.2725","0.0136","0.6656","0.5638","0.6593","0.4969"
"TMEM216","transmembrane protein 216","0.5","0.6428","0.9493","0.1536","0.7393","0.3741","0.7336"
"FOXC2","forkhead box C2","0.5","0.8055","0.3298","0.9875","0.8322","0.1485","0.9298"
"CEBPG","CCAAT/enhancer binding protein gamma","0.5","0.4228","0.6084","0.7034","0.2468","0.3603","0.2654"
"SPANXN5","SPANX family member N5","0.5","0.3467","0.8277","0.7148","0.3083","0.5039","0.8756"
"F10","coagulation factor X","0.5","0.8099","0.544","0.201","0.1909","0.6023","0.6631"
"C8orf37","chromosome 8 open reading frame 37","0.5","0.2626","0.2317","0.1344","0.6631","0.6369","0.6917"
"WDR49","WD repeat domain 49","0.5","0.5591","0.1729","0.5677","0.2665","0.9181","0.7478"
"NLRP2","NLR family pyrin domain containing 2","0.5","0.0409","0.2573","0.0846","0.4828","0.839","0.0262"
"SMIM10","small integral membrane protein 10","0.5","0.8409","0.4297","0.3847","0.9305","0.0792","0.807"
"EXD1","exonuclease 3'-5' domain containing 1","0.5","0.9173","0.003","0.1975","0.8263","0.8717","0.9156"
"SLC44A1","solute carrier family 44 member 1","0.5","0.5051","0.1714","0.5259","0.2996","0.8457","0.8012"
"PROB1","proline rich basic protein 1","0.5","0.6876","0.2247","0.3381","0.231","0.7167","0.2822"
"RBM26","RNA binding motif protein 26","0.5","0.067","0.8861","0.22","0.1596","0.7556","0.7022"
"MROH9","maestro heat like repeat family member 9","0.5","0.8603","0.4817","0.2829","0.7041","0.1802","0.3219"
"NDUFB11","NADH:ubiquinone oxidoreductase subunit B11","0.5","0.8287","0.4523","0.8871","0.911","0.5468","0.7947"
"CEACAM21","carcinoembryonic antigen related cell adhesion molecule 21","0.5","0.1772","0.536","0.7015","0.1258","0.0461","0.2355"
"ZNF816-ZNF321P","ZNF816-ZNF321P readthrough","0.5","0.301","0.8837","0.0279","0.8853","0.0171","0.6874"
"FPGT-TNNI3K","FPGT-TNNI3K readthrough","0.5","0.7854","0.1682","0.4208","0.2959","0.2353","0.7147"
"KIFAP3","kinesin associated protein 3","0.5","0.7352","0.5154","0.9943","0.3289","0.5294","0.5259"
"TOR2A","torsin family 2 member A","0.5","0.1814","0.8512","0.8127","0.5086","0.2564","0.0862"
"CRY2","cryptochrome circadian clock 2","0.5","0.1724","0.4184","0.2195","0.7141","0.335","0.0794"
"WISP3","WNT1 inducible signaling pathway protein 3","0.5","0.4178","0.4264","0.8505","0.8655","0.1284","0.2775"
"HIST1H2AC","histone cluster 1 H2A family member c","0.5","0.5829","0.8807","0.7213","0.3601","0.1868","0.735"
"GSPT2","G1 to S phase transition 2","0.5","0.3256","0.1714","0.3906","0.2931","0.5378","0.3049"
"MB21D1","Mab-21 domain containing 1","0.5","0.4829","0.1408","0.0024","0.8865","0.5468","0.6809"
"TMEM132B","transmembrane protein 132B","0.5","0.9683","0.3217","0.3149","0.0796","0.482","0.7453"
"LINS1","lines homolog 1","0.5","0.2344","0.1612","0.4168","0.3654","0.5481","0.6775"
"COX7C","cytochrome c oxidase subunit 7C","0.5","0.0434","0.7185","0.0292","0.439","0.1784","0.776"
"SHROOM1","shroom family member 1","0.5","0.8377","0.6935","0.1474","0.5","0.3861","0.6885"
"C20orf78","chromosome 20 open reading frame 78","0.5","0.3445","0.2563","0.7595","0.8454","0.9676","0.1891"
"SH3BGRL3","SH3 domain binding glutamate rich protein like 3","0.5","0.9191","0.4729","0.2435","0.722","0.4391","0.2207"
"MIF4GD","MIF4G domain containing","0.5","0.3664","0.7962","0.7813","0.7399","0.9392","0.2259"
"LDHAL6B","lactate dehydrogenase A like 6B","0.5","0.9899","0.747","0.7398","0.684","0.9684","0.404"
"GALNT8","polypeptide N-acetylgalactosaminyltransferase 8","0.5","0.3525","0.7091","0.4796","0.0633","0.9812","0.0074"
"TOR1B","torsin family 1 member B","0.5","0.1549","0.4506","0.0337","0.7427","0.0671","0.2296"
"BCO2","beta-carotene oxygenase 2","0.5","0.2879","0.8425","0.053","0.3156","0.7541","0.2882"
"LYAR","Ly1 antibody reactive","0.5","0.2712","0.4845","0.8759","0.1781","0.6914","0.3613"
"UTP6","UTP6, small subunit processome component","0.5","0.5597","0.3546","0.5986","0.4061","0.0921","0.2828"
"SCML2","sex comb on midleg like 2 (Drosophila)","0.5","0.6221","0.4787","0.7376","0.8855","0.9265","0.3745"
"IL5","interleukin 5","0.5","0.0561","0.3443","0.9774","0.1736","0.2286","0.7941"
"GLT8D1","glycosyltransferase 8 domain containing 1","0.5","0.9595","0.8142","0.6957","0.5902","0.6764","0.5165"
"ZNF841","zinc finger protein 841","0.5","0.1471","0.6478","0.8318","0.1985","0.894","0.5573"
"NDUFAF6","NADH:ubiquinone oxidoreductase complex assembly factor 6","0.5","0.4787","0.2332","0.0128","0.9413","0.2704","0.6191"
"CKS1B","CDC28 protein kinase regulatory subunit 1B","0.5","0.3589","0.0481","0.5325","0.5058","0.6036","0.0056"
"SRSF9","serine and arginine rich splicing factor 9","0.5","0.5955","0.2408","0.4264","0.5747","0.2491","0.1639"
"APOL1","apolipoprotein L1","0.5","0.2522","0.5919","0.0343","0.9465","0.3356","0.7164"
"SETD1B","SET domain containing 1B","0.5","0.4534","0.5079","0.053","0.1045","0.5339","0.5264"
"ZNF664","zinc finger protein 664","0.5","0.2933","0.5884","0.6273","0.5839","0.5885","0.194"
"TACR3","tachykinin receptor 3","0.5","0.733","0.5115","0.1897","0.857","0.4264","0.7007"
"NUMBL","NUMB like, endocytic adaptor protein","0.5","0.8536","0.4249","0.5639","0.3554","0.6201","0.191"
"NCOA2","nuclear receptor coactivator 2","0.5","0.5255","0.5172","0.3003","0.3409","0.1142","0.6155"
"RDH14","retinol dehydrogenase 14 (all-trans/9-cis/11-cis)","0.5","0.8642","0.29","0.1807","0.1183","0.4905","0.7616"
"MED23","mediator complex subunit 23","0.5","0.5981","0.629","0.7444","0.0587","0.6816","0.1713"
"GINS4","GINS complex subunit 4","0.5","0.679","0.6723","0.9091","0.0344","0.5044","0.2514"
"SLC25A18","solute carrier family 25 member 18","0.5","0.6541","0.2009","0.8345","0.2197","0.0386","0.5152"
"CCDC17","coiled-coil domain containing 17","0.5","0.9709","0.6241","0.3795","0.0767","0.6566","0.4089"
"TMEM176B","transmembrane protein 176B","0.5","0.947","0.9714","0.6478","0.7349","0.6655","0.6997"
"TECR","trans-2,3-enoyl-CoA reductase","0.5","0.5504","0.2962","0.2514","0.2258","0.7251","0.0762"
"PLEKHH3","pleckstrin homology, MyTH4 and FERM domain containing H3","0.5","0.2385","0.5695","0.333","0.1464","0.946","0.4458"
"MPHOSPH6","M-phase phosphoprotein 6","0.5","0.5615","0.5114","0.3315","0.7746","0.2134","0.7958"
"TP53BP1","tumor protein p53 binding protein 1","0.5","0.5024","0.9307","0.2539","0.8598","0.3726","0.3187"
"TMED6","transmembrane p24 trafficking protein 6","0.5","0.7049","0.5993","0.8543","0.569","0.6376","0.1492"
"SEPHS2","selenophosphate synthetase 2","0.5","0.1425","0.8438","0.3559","0.9363","0.0548","0.8368"
"NOXA1","NADPH oxidase activator 1","0.5","0.8667","0.2653","0.056","0.4559","0.6388","0.2103"
"EIF1","eukaryotic translation initiation factor 1","0.5","0.1336","0.3571","0.8626","0.4747","0.6748","0.0863"
"SYNGR1","synaptogyrin 1","0.5","0.0401","0.0487","0.2721","0.9951","0.4111","0.2259"
"FOXM1","forkhead box M1","0.5","0.416","0.511","0.8408","0.1979","0.6333","0.0439"
"PRKX","protein kinase, X-linked","0.5","0.6334","0.3119","0.4702","0.4889","0.8853","0.1471"
"C2orf15","chromosome 2 open reading frame 15","0.5","0.4097","0.6745","0.9207","0.5023","0.3862","0.7591"
"PARVB","parvin beta","0.5","0.0181","0.8352","0.0021","0.6996","0.5063","0.9104"
"SIN3A","SIN3 transcription regulator family member A","0.5","0.905","0.241","0.6428","0.6898","0.5545","0.8308"
"MXD4","MAX dimerization protein 4","0.5","0.7977","0.8566","0.7685","0.3046","0.0045","0.7987"
"AKT1","AKT serine/threonine kinase 1","0.5","0.6302","0.6588","0.6498","0.7804","0.7576","0.7503"
"AKT1S1","AKT1 substrate 1","0.5","0.6724","0.6035","0.7693","0.7919","0.7331","0.6138"
"BRAF","B-Raf proto-oncogene, serine/threonine kinase","0.5","0.7884","0.7241","0.7937","0.7691","0.6659","0.7964"
"CAB39","calcium binding protein 39","0.5","0.7975","0.7819","0.7293","0.6391","0.6139","0.6014"
"CAB39L","calcium binding protein 39 like","0.5","0.7547","0.6639","0.6689","0.7137","0.7749","0.7689"
"CBX2","chromobox 2","0.5","0.7128","0.6503","0.7281","0.7534","0.6474","0.7016"
"DDIT4","DNA damage inducible transcript 4","0.5","0.7743","0.6013","0.6138","0.7797","0.659","0.7573"
"EIF4B","eukaryotic translation initiation factor 4B","0.5","0.6325","0.7959","0.7514","0.6431","0.6028","0.7979"
"EIF4E","eukaryotic translation initiation factor 4E","0.5","0.6051","0.6904","0.7173","0.6977","0.7783","0.7138"
"EIF4E2","eukaryotic translation initiation factor 4E family member 2","0.5","0.7278","0.6257","0.6614","0.6154","0.6335","0.6026"
"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","0.5","0.7726","0.6796","0.6392","0.6089","0.7481","0.6577"
"HIF1A","hypoxia inducible factor 1 alpha subunit","0.5","0.6129","0.64","0.6473","0.7624","0.705","0.6354"
"IGF1","insulin like growth factor 1","0.5","0.7117","0.6103","0.7242","0.6829","0.6765","0.647"
"IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","0.5","0.7171","0.755","0.6127","0.6553","0.7003","0.7061"
"IRS1","insulin receptor substrate 1","0.5","0.7258","0.6165","0.7066","0.6329","0.6216","0.7446"
"MAPK1","mitogen-activated protein kinase 1","0.5","0.691","0.6269","0.7334","0.7784","0.7713","0.6996"
"MAPK3","mitogen-activated protein kinase 3","0.5","0.7117","0.7386","0.7167","0.7891","0.6286","0.7862"
"MLST8","MTOR associated protein, LST8 homolog","0.5","0.6887","0.6088","0.7257","0.6668","0.7643","0.7016"
"MTOR","mechanistic target of rapamycin","0.5","0.6555","0.6029","0.6203","0.7897","0.7904","0.6496"
"PDPK1","3-phosphoinositide dependent protein kinase 1","0.5","0.6473","0.6671","0.6822","0.6738","0.7377","0.6689"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","0.5","0.6345","0.7535","0.6506","0.7094","0.6105","0.6132"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","0.5","0.7591","0.7156","0.6188","0.6459","0.7216","0.6807"
"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","0.5","0.7314","0.6473","0.6264","0.6202","0.7726","0.7958"
"PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","0.5","0.6642","0.6325","0.6757","0.7266","0.7765","0.718"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","0.5","0.7552","0.6986","0.7901","0.725","0.7156","0.7218"
"PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","0.5","0.6437","0.7586","0.7004","0.6087","0.6607","0.6852"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","0.5","0.6993","0.7797","0.738","0.7861","0.6266","0.6822"
"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","0.5","0.6919","0.7974","0.6833","0.696","0.7667","0.6512"
"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","0.5","0.6539","0.7787","0.7901","0.6122","0.6826","0.658"
"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","0.5","0.602","0.6533","0.7307","0.614","0.7277","0.7899"
"PRKCA","protein kinase C alpha","0.5","0.6631","0.6973","0.7952","0.7206","0.7338","0.7308"
"PRKCB","protein kinase C beta","0.5","0.6367","0.6395","0.6262","0.6663","0.6986","0.7599"
"PRKCG","protein kinase C gamma","0.5","0.7301","0.6681","0.7268","0.7934","0.6516","0.7728"
"PTEN","phosphatase and tensin homolog","0.5","0.789","0.7783","0.6939","0.6253","0.6667","0.6499"
"RHEB","Ras homolog enriched in brain","0.5","0.7738","0.6439","0.6692","0.7603","0.7412","0.7099"
"RICTOR","RPTOR independent companion of MTOR complex 2","0.5","0.7445","0.7189","0.6664","0.6436","0.7381","0.7041"
"RPS6","ribosomal protein S6","0.5","0.73","0.6559","0.663","0.6508","0.6709","0.6275"
"RPS6KA1","ribosomal protein S6 kinase A1","0.5","0.794","0.7466","0.7333","0.7521","0.7354","0.6923"
"RPS6KA2","ribosomal protein S6 kinase A2","0.5","0.6927","0.7401","0.7739","0.6319","0.7439","0.7984"
"RPS6KA3","ribosomal protein S6 kinase A3","0.5","0.7896","0.7233","0.6989","0.6034","0.6877","0.6693"
"RPS6KA6","ribosomal protein S6 kinase A6","0.5","0.7579","0.684","0.7987","0.7994","0.7715","0.7114"
"RPS6KB1","ribosomal protein S6 kinase B1","0.5","0.6413","0.6954","0.677","0.6172","0.773","0.6009"
"RPS6KB2","ribosomal protein S6 kinase B2","0.5","0.7115","0.6906","0.6194","0.6344","0.7252","0.7726"
"RPTOR","regulatory associated protein of MTOR complex 1","0.5","0.6719","0.7223","0.6527","0.7472","0.6707","0.6277"
"RRAGA","Ras related GTP binding A","0.5","0.7374","0.7019","0.7967","0.7447","0.6814","0.7092"
"RRAGB","Ras related GTP binding B","0.5","0.7252","0.7319","0.6532","0.6377","0.6242","0.6162"
"RRAGC","Ras related GTP binding C","0.5","0.766","0.7007","0.7023","0.79","0.7572","0.6325"
"RRAGD","Ras related GTP binding D","0.5","0.735","0.7982","0.6069","0.7131","0.6229","0.7392"
"RYBP","RING1 and YY1 binding protein","0.5","0.765","0.6903","0.6522","0.7934","0.742","0.7209"
"STK11","serine/threonine kinase 11","0.5","0.775","0.6209","0.6486","0.6064","0.7252","0.7246"
"STRADA","STE20-related kinase adaptor alpha","0.5","0.6228","0.7519","0.6388","0.6364","0.6027","0.7126"
"TNF","tumor necrosis factor","0.5","0.6031","0.7425","0.6027","0.7646","0.7133","0.761"
